"probeset","gene","EntrezGene.ID","best_probe"
"1007_s_at","DDR1","780",FALSE
"1053_at","RFC2","5982",TRUE
"117_at","HSPA6","3310",FALSE
"121_at","PAX8","7849",FALSE
"1255_g_at","GUCA1A","2978",TRUE
"1294_at","UBA7","7318",FALSE
"1316_at","THRA","7067",FALSE
"1320_at","PTPN21","11099",TRUE
"1405_i_at","CCL5","6352",TRUE
"1431_at","CYP2E1","1571",FALSE
"1438_at","EPHB3","2049",TRUE
"1487_at","ESRRA","2101",FALSE
"1494_f_at","CYP2A6","1548",FALSE
"1598_g_at","GAS6","2621",FALSE
"160020_at","MMP14","4323",FALSE
"1729_at","TRADD","8717",FALSE
"1773_at","FNTB","2342",FALSE
"177_at","PLD1","5337",FALSE
"179_at","PMS2P11","441263",FALSE
"1861_at","BAD","572",FALSE
"200000_s_at","PRPF8","10594",TRUE
"200001_at","CAPNS1","826",TRUE
"200002_at","RPL35","11224",TRUE
"200003_s_at","RPL28","6158",FALSE
"200004_at","EIF4G2","1982",FALSE
"200005_at","EIF3D","8664",TRUE
"200006_at","PARK7","11315",TRUE
"200007_at","SRP14","6727",TRUE
"200008_s_at","GDI2","2665",TRUE
"200009_at","GDI2","2665",FALSE
"200010_at","RPL11","6135",TRUE
"200011_s_at","ARF3","377",FALSE
"200012_x_at","RPL21","6144",TRUE
"200013_at","RPL24","6152",FALSE
"200014_s_at","HNRNPC","3183",FALSE
"200015_s_at","SEPT2","4735",FALSE
"200016_x_at","HNRNPA1","3178",FALSE
"200017_at","RPS27A","6233",TRUE
"200018_at","RPS13","6207",TRUE
"200019_s_at","FAU","2197",TRUE
"200020_at","TARDBP","23435",FALSE
"200021_at","CFL1","1072",TRUE
"200022_at","RPL18","6141",FALSE
"200023_s_at","EIF3F","8665",FALSE
"200024_at","RPS5","6193",TRUE
"200025_s_at","RPL27","6155",TRUE
"200026_at","RPL34","6164",TRUE
"200027_at","NARS","4677",TRUE
"200028_s_at","STARD7","56910",TRUE
"200029_at","RPL19","6143",TRUE
"200030_s_at","SLC25A3","5250",TRUE
"200031_s_at","RPS11","6205",FALSE
"200032_s_at","RPL9","6133",TRUE
"200033_at","DDX5","1655",TRUE
"200034_s_at","RPL6","6128",TRUE
"200035_at","CTDNEP1","23399",TRUE
"200036_s_at","RPL10A","4736",TRUE
"200037_s_at","CBX3","11335",FALSE
"200038_s_at","RPL17","6139",FALSE
"200039_s_at","PSMB2","5690",FALSE
"200040_at","KHDRBS1","10657",FALSE
"200041_s_at","ATP6V1G2 /// BAT1","534 /// 7919",FALSE
"200042_at","C22orf28","51493",TRUE
"200043_at","ERH","2079",TRUE
"200044_at","SRSF9","8683",FALSE
"200045_at","ABCF1","23",TRUE
"200046_at","DAD1","1603",TRUE
"200047_s_at","YY1","7528",FALSE
"200048_s_at","JTB","10899",FALSE
"200049_at","MYST2","11143",TRUE
"200050_at","ZNF146","7705",TRUE
"200051_at","SART1","9092",TRUE
"200052_s_at","ILF2","3608",TRUE
"200053_at","SPAG7","9552",TRUE
"200054_at","ZNF259","8882",TRUE
"200055_at","TAF10","6881",TRUE
"200056_s_at","C1D","10438",TRUE
"200057_s_at","NONO","4841",FALSE
"200058_s_at","SNRNP200","23020",FALSE
"200059_s_at","RHOA","387",TRUE
"200060_s_at","RNPS1","10921",FALSE
"200061_s_at","RPS24","6229",TRUE
"200062_s_at","RPL30","6156",TRUE
"200063_s_at","NPM1","4869",FALSE
"200064_at","HSP90AB1","3326",FALSE
"200065_s_at","ARF1","375",FALSE
"200066_at","IK","3550",TRUE
"200067_x_at","SNX3","8724",FALSE
"200068_s_at","CANX","821",FALSE
"200069_at","SART3","9733",FALSE
"200070_at","C2orf24","27013",FALSE
"200071_at","SMNDC1","10285",TRUE
"200072_s_at","HNRNPM","4670",FALSE
"200073_s_at","HNRNPD","3184",FALSE
